epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr
1,0.070487,0.063393,0.988775,0.000000,0.000000,0.000000,9.97e-04
2,0.064562,0.067726,0.975921,0.095336,0.131646,0.110587,9.89e-04
3,0.060527,0.059535,0.982665,0.217552,0.206215,0.211732,9.76e-04
4,0.054643,0.057588,0.982612,0.208738,0.201649,0.205132,9.57e-04
5,0.052776,0.051850,0.984399,0.243328,0.185934,0.210795,9.33e-04
6,0.051476,0.051345,0.984081,0.248995,0.208996,0.227249,9.05e-04
7,0.050983,0.051178,0.981803,0.224370,0.259307,0.240577,8.72e-04
8,0.049411,0.049306,0.983998,0.262518,0.240161,0.250842,8.35e-04
9,0.048991,0.049363,0.984086,0.267089,0.244477,0.255283,7.94e-04
10,0.047331,0.049552,0.982325,0.241832,0.263845,0.252359,7.50e-04
11,0.047306,0.050320,0.983751,0.259518,0.236737,0.247605,7.03e-04
12,0.046894,0.048218,0.982398,0.253525,0.294998,0.272693,6.55e-04
13,0.045452,0.048489,0.983541,0.263114,0.252983,0.257949,6.04e-04
14,0.044869,0.047860,0.981675,0.240194,0.294184,0.264462,5.52e-04
15,0.044830,0.045917,0.984957,0.283701,0.231155,0.254746,5.00e-04
16,0.044995,0.047067,0.981956,0.249837,0.308648,0.276146,4.48e-04
17,0.043611,0.046556,0.984602,0.291996,0.252025,0.270542,3.96e-04
18,0.044234,0.046368,0.983897,0.278950,0.279130,0.279040,3.45e-04
19,0.043565,0.045098,0.984054,0.283996,0.270830,0.277257,2.97e-04
20,0.043584,0.047426,0.982922,0.258963,0.280218,0.269172,2.50e-04
21,0.043557,0.046137,0.983415,0.274367,0.279493,0.276906,2.06e-04
22,0.043272,0.045933,0.983838,0.274437,0.273065,0.273749,1.65e-04
23,0.042828,0.045771,0.983206,0.269306,0.283713,0.276322,1.28e-04
24,0.043095,0.046447,0.982787,0.263728,0.289821,0.276159,9.55e-05
25,0.042560,0.045218,0.984185,0.289879,0.275390,0.282449,6.70e-05
26,0.042498,0.044767,0.983239,0.275832,0.306529,0.290372,4.32e-05
27,0.042538,0.045172,0.983370,0.275498,0.291367,0.283211,2.45e-05
28,0.042765,0.045000,0.983573,0.276758,0.291465,0.283922,1.09e-05
29,0.042660,0.045314,0.983222,0.276668,0.299602,0.287679,2.74e-06
30,0.042626,0.044819,0.983379,0.272441,0.292459,0.282095,0.00e+00
