epoch,train_loss,val_loss,rpa,rca,vdr,vfa,median_cents,lr
1,1.945612,1.926174,0.887697,0.905235,0.987522,0.860422,13.3,9.99e-04
2,1.654404,1.801249,0.906947,0.917962,0.926226,0.638442,13.3,9.96e-04
3,1.632223,1.790268,0.909424,0.919572,0.903341,0.684883,13.3,9.91e-04
4,1.618154,1.761660,0.912321,0.921301,0.899244,0.668910,13.3,9.84e-04
5,1.607302,1.782196,0.897715,0.910562,0.834412,0.630726,13.3,9.76e-04
6,1.599103,1.745641,0.914932,0.924978,0.863555,0.621259,13.3,9.65e-04
7,1.595080,1.759569,0.907959,0.925053,0.844310,0.638079,13.3,9.52e-04
8,1.589062,1.742303,0.915908,0.928172,0.832263,0.644776,13.3,9.38e-04
9,1.585486,1.765527,0.899970,0.920692,0.825872,0.613644,13.3,9.22e-04
10,1.582242,1.714434,0.920792,0.931206,0.832478,0.621665,13.3,9.05e-04
11,1.578375,1.730918,0.912533,0.924263,0.777922,0.575104,13.3,8.85e-04
12,1.576554,1.747453,0.911484,0.926267,0.802198,0.620175,13.3,8.64e-04
13,1.574210,1.717638,0.913068,0.924566,0.827604,0.631355,13.3,8.42e-04
14,1.572818,1.724703,0.908641,0.923932,0.755643,0.520436,13.3,8.19e-04
15,1.570358,1.737100,0.910236,0.923412,0.778475,0.653950,13.3,7.94e-04
16,1.567976,1.715588,0.918939,0.929088,0.799394,0.632290,13.3,7.68e-04
17,1.567519,1.709909,0.914216,0.930001,0.772009,0.601727,13.3,7.41e-04
18,1.565030,1.709867,0.918473,0.931620,0.802342,0.639629,10.0,7.13e-04
19,1.564912,1.701005,0.923060,0.934815,0.799249,0.621243,13.3,6.84e-04
20,1.562575,1.681305,0.920704,0.934320,0.749252,0.625895,13.3,6.55e-04
21,1.562006,1.712125,0.914770,0.928824,0.762940,0.598067,13.3,6.24e-04
22,1.560395,1.686554,0.921526,0.930913,0.778489,0.599821,13.3,5.94e-04
23,1.558611,1.671004,0.926862,0.933713,0.788489,0.617592,10.0,5.63e-04
24,1.558406,1.706214,0.916546,0.928575,0.791134,0.632685,10.0,5.31e-04
25,1.557306,1.703251,0.919130,0.930870,0.720169,0.537454,13.3,5.00e-04
26,1.556516,1.691664,0.913919,0.929815,0.743147,0.567800,13.3,4.69e-04
27,1.555830,1.685935,0.922243,0.936106,0.757929,0.610179,10.0,4.37e-04
28,1.555730,1.672584,0.927424,0.936204,0.769554,0.587407,10.0,4.06e-04
29,1.554385,1.702023,0.918907,0.931382,0.788049,0.629332,10.0,3.76e-04
30,1.552846,1.714872,0.911436,0.927416,0.771645,0.579955,13.3,3.45e-04
31,1.552615,1.671564,0.926477,0.940389,0.770404,0.625482,10.0,3.16e-04
32,1.552164,1.687408,0.919049,0.930569,0.742112,0.553625,10.0,2.87e-04
33,1.551716,1.667368,0.925176,0.936930,0.763300,0.590397,10.0,2.59e-04
34,1.550934,1.686220,0.928088,0.937281,0.793753,0.618325,10.0,2.32e-04
35,1.550305,1.689916,0.920654,0.936520,0.767820,0.588883,10.0,2.06e-04
36,1.550894,1.672599,0.924005,0.936185,0.760027,0.611281,10.0,1.81e-04
37,1.549367,1.671859,0.927114,0.938851,0.789221,0.615868,10.0,1.58e-04
38,1.548724,1.683019,0.924618,0.935747,0.755107,0.628464,10.0,1.36e-04
39,1.548905,1.684085,0.921598,0.934037,0.744504,0.560693,13.3,1.15e-04
40,1.548129,1.693590,0.920588,0.932270,0.753110,0.583057,13.3,9.55e-05
41,1.548574,1.679557,0.925028,0.936228,0.766595,0.553846,10.0,7.78e-05
42,1.548592,1.676911,0.924431,0.936791,0.757071,0.610321,10.0,6.18e-05
43,1.547815,1.687871,0.922638,0.934326,0.757335,0.578998,10.0,4.76e-05
44,1.547392,1.686999,0.922920,0.935500,0.748627,0.569579,10.0,3.51e-05
45,1.547586,1.687287,0.922031,0.937068,0.763075,0.622317,10.0,2.45e-05
46,1.547237,1.686950,0.922409,0.937089,0.740443,0.591060,10.0,1.57e-05
47,1.546917,1.695508,0.921915,0.938136,0.742641,0.588764,10.0,8.86e-06
48,1.547194,1.685844,0.923877,0.938552,0.747006,0.580247,10.0,3.94e-06
49,1.546736,1.677215,0.923348,0.936599,0.745071,0.596764,10.0,9.87e-07
50,1.547680,1.680656,0.924019,0.933092,0.743562,0.573004,10.0,0.00e+00
