epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr
1,0.093052,0.089068,0.850268,0.854383,0.987405,0.916091,9.97e-04
2,0.077231,0.068424,0.891125,0.892039,0.988337,0.937722,9.89e-04
3,0.067998,0.064897,0.894702,0.891305,0.994533,0.940094,9.76e-04
4,0.061872,0.062955,0.913839,0.923589,0.976869,0.949482,9.57e-04
5,0.056866,0.073149,0.885469,0.879827,0.998254,0.935306,9.33e-04
6,0.054000,0.063626,0.902877,0.904668,0.986884,0.943989,9.05e-04
7,0.052115,0.052771,0.921199,0.925793,0.983664,0.953851,8.72e-04
8,0.049578,0.056748,0.912347,0.916351,0.983938,0.948943,8.35e-04
9,0.048565,0.062292,0.914345,0.923905,0.977596,0.949992,7.94e-04
10,0.047357,0.054881,0.911470,0.909675,0.991437,0.948798,7.50e-04
11,0.045070,0.050397,0.923815,0.929148,0.983209,0.955414,7.03e-04
12,0.044114,0.047721,0.923724,0.923945,0.989646,0.955668,6.55e-04
13,0.043692,0.048291,0.927659,0.930873,0.986166,0.957722,6.04e-04
14,0.043288,0.050976,0.920514,0.922254,0.987107,0.953579,5.52e-04
15,0.040971,0.051378,0.917378,0.915584,0.991927,0.952228,5.00e-04
16,0.040406,0.057780,0.913995,0.909088,0.995909,0.950520,4.48e-04
17,0.040293,0.049613,0.919388,0.916139,0.993916,0.953444,3.96e-04
18,0.039305,0.046089,0.928657,0.930246,0.987910,0.958211,3.45e-04
19,0.037424,0.045693,0.926343,0.922786,0.994334,0.957225,2.97e-04
20,0.037462,0.043395,0.937454,0.942307,0.984785,0.963078,2.50e-04
21,0.036768,0.058388,0.928976,0.950638,0.964343,0.957442,2.06e-04
22,0.036151,0.043241,0.933626,0.930837,0.993834,0.961304,1.65e-04
23,0.034764,0.044811,0.940678,0.953081,0.976586,0.964690,1.28e-04
24,0.034095,0.042349,0.940756,0.947133,0.983660,0.965051,9.55e-05
25,0.033770,0.040055,0.943629,0.949325,0.984694,0.966686,6.70e-05
26,0.032678,0.041787,0.934349,0.933116,0.991898,0.961610,4.32e-05
27,0.032260,0.038100,0.944986,0.948451,0.987447,0.967556,2.45e-05
28,0.031794,0.041715,0.940766,0.944897,0.986024,0.965023,1.09e-05
29,0.031591,0.039925,0.937917,0.937722,0.990879,0.963568,2.74e-06
30,0.031052,0.039565,0.941705,0.945220,0.986978,0.965648,0.00e+00
