npz_path,audio_path,dataset,singer_id,technique,n_frames
ml_new/data/extracted_pyin/gtsinger/gtsinger_000005.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0005.wav,gtsinger,EN-Alto-1,breathy,603
ml_new/data/extracted_pyin/gtsinger/gtsinger_000009.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0009.wav,gtsinger,EN-Alto-1,breathy,597
ml_new/data/extracted_pyin/gtsinger/gtsinger_000003.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0003.wav,gtsinger,EN-Alto-1,breathy,675
ml_new/data/extracted_pyin/gtsinger/gtsinger_000007.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0007.wav,gtsinger,EN-Alto-1,breathy,668
ml_new/data/extracted_pyin/gtsinger/gtsinger_000002.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0002.wav,gtsinger,EN-Alto-1,breathy,710
ml_new/data/extracted_pyin/gtsinger/gtsinger_000000.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0000.wav,gtsinger,EN-Alto-1,breathy,733
ml_new/data/extracted_pyin/gtsinger/gtsinger_000006.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0006.wav,gtsinger,EN-Alto-1,breathy,777
ml_new/data/extracted_pyin/gtsinger/gtsinger_000008.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0008.wav,gtsinger,EN-Alto-1,breathy,818
ml_new/data/extracted_pyin/gtsinger/gtsinger_000004.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0004.wav,gtsinger,EN-Alto-1,breathy,1037
ml_new/data/extracted_pyin/gtsinger/gtsinger_000001.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0001.wav,gtsinger,EN-Alto-1,breathy,1100
ml_new/data/extracted_pyin/gtsinger/gtsinger_000010.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0010.wav,gtsinger,EN-Alto-1,breathy,618
ml_new/data/extracted_pyin/gtsinger/gtsinger_000011.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0011.wav,gtsinger,EN-Alto-1,breathy,645
ml_new/data/extracted_pyin/gtsinger/gtsinger_000013.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0013.wav,gtsinger,EN-Alto-1,breathy,729
ml_new/data/extracted_pyin/gtsinger/gtsinger_000012.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Breathy_Group/0012.wav,gtsinger,EN-Alto-1,breathy,782
ml_new/data/extracted_pyin/gtsinger/gtsinger_000017.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Control_Group/0003.wav,gtsinger,EN-Alto-1,breathy,653
ml_new/data/extracted_pyin/gtsinger/gtsinger_000016.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Control_Group/0002.wav,gtsinger,EN-Alto-1,breathy,724
ml_new/data/extracted_pyin/gtsinger/gtsinger_000014.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Control_Group/0000.wav,gtsinger,EN-Alto-1,breathy,897
ml_new/data/extracted_pyin/gtsinger/gtsinger_000019.npz,ml/data/raw/gtsinger/English/EN-Alto-1/Breathy/all is found/Control_Group/0005.wav,gtsinger,EN-Alto-1,breathy,711
